Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2023-02-14,0.3703,0.3839,0.3644,0.3819,372274074.0,XRP,138499878.2798,160722,6.802333333333334e-05,50.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,3.1325951930866847,0.030845306311903506,0.01366579504420371,
2023-02-15,0.3819,0.4024,0.3765,0.4011,370966882.0,XRP,143859246.6086,150550,9.342e-05,53.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,5.02749410840535,0.04905197854453674,0.01964263479018802,
2023-02-16,0.401,0.4048,0.384,0.3841,450636395.0,XRP,179200203.6661,193412,0.0001,62.0,,348419061.63648504,344711.0,28291380.22294443,,1d,-4.238344552480678,-0.043307837424148066,0.01435064126509774,
2023-02-17,0.3841,0.4,0.3809,0.395,358052399.0,XRP,139644124.6396,149639,9.794333333333334e-05,61.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,2.8378026555584634,0.027982829549262903,0.01774374299589092,
2023-02-18,0.3949,0.3976,0.3911,0.3943,145625421.0,XRP,57400872.4426,73236,0.0001,60.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.17721518987342533,-0.0017737240175404513,0.017525837380151902,
2023-02-19,0.3942,0.3981,0.3845,0.3863,237992952.0,XRP,93146713.9362,120434,0.0001,60.0,,315328983.1570423,240406.0,25635697.747482333,,1d,-2.028911995942173,-0.02049777121134584,0.01503548748599177,
2023-02-20,0.3862,0.409,0.3774,0.3984,557018367.0,XRP,220336014.7363,224246,6.723e-05,58.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,3.132280610924143,0.030842256038207456,0.018802141700908964,
2023-02-21,0.3985,0.4025,0.3872,0.3919,448284088.0,XRP,176374645.4901,170551,0.0001,60.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.6315261044176577,-0.01644982050485726,0.016778732411903877,
2023-02-22,0.392,0.3977,0.3828,0.3953,389277544.0,XRP,151813602.9011,161983,0.0001,59.0,,272506528.65423405,282319.0,21468764.32905321,,1d,0.867568257208462,0.008638265097053956,0.017837131116921916,
2023-02-23,0.3953,0.3979,0.3853,0.3882,348351954.0,XRP,136524364.7895,151055,0.0001,56.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.7961042246395165,-0.018124299567729967,0.015626945585854805,
2023-02-24,0.3883,0.3908,0.3723,0.3783,356652233.0,XRP,136442442.7247,157595,0.0001,53.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.5502318392581103,-0.025833139095926275,0.012545137591831654,
2023-02-25,0.3783,0.3795,0.3692,0.3778,179723963.0,XRP,67647646.4228,84703,7.704333333333333e-05,52.0,,227840889.7787333,258413.0,16083980.15403232,,1d,-0.1321702352630183,-0.0013225765715743833,0.012389490723446646,
2023-02-26,0.3779,0.3807,0.3745,0.3779,130843027.0,XRP,49371646.179,69576,5.3133333333333335e-05,51.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.026469031233444795,0.00026465528803398515,0.012420620097123644,
2023-02-27,0.3779,0.3801,0.3708,0.3785,421412885.0,XRP,158457633.8979,145975,0.0001,50.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.1587721619475957,0.0015864625220600888,0.01260739633918565,
2023-02-28,0.3785,0.3827,0.3719,0.3762,371401256.0,XRP,140007695.9865,149317,0.0001,53.0,,293209893.8756949,332358.0,20630776.02077309,,1d,-0.6076618229854724,-0.00609515601057349,0.011891420744614606,
2023-03-01,0.3762,0.3848,0.3726,0.3835,317577485.0,XRP,120585971.9244,134548,0.0001,50.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.940457203615109,0.01921870394038097,0.014163865023035732,
2023-03-02,0.3836,0.3846,0.3737,0.3772,281873061.0,XRP,106574977.8196,107723,0.0001,51.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.6427640156453815,-0.01656407004800855,0.012202714481384623,
2023-03-03,0.3772,0.3806,0.3539,0.3774,490515388.0,XRP,179848857.5324,214243,8.055666666666667e-05,50.0,,359556658.1833338,355273.0,24203335.93106573,,1d,0.05302226935313126,0.0005300821751474413,0.012264973228738636,
2023-03-04,0.3773,0.38,0.368,0.3735,164275250.0,XRP,61584809.5591,85530,0.0001,50.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.0333863275039823,-0.010387628361577923,0.011050927655335567,
2023-03-05,0.3735,0.3774,0.3653,0.3668,163637644.0,XRP,60724189.1932,80980,5.3536666666666665e-05,47.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.7938420348058814,-0.018101264190562124,0.008965259618976465,
2023-03-06,0.3668,0.3743,0.3589,0.3695,428373378.0,XRP,156725004.0317,158156,2.83e-05,48.0,,282508802.8583337,316016.0,19320752.86653148,,1d,0.7360959651036003,0.0073340000059466965,0.009805752708255502,
2023-03-07,0.3696,0.3844,0.3669,0.3801,562644274.0,XRP,210785141.3808,230481,8.158333333333334e-05,49.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,2.868741542625175,0.02828363560694665,0.013105466318017674,
