Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-03-13,569.76,620.0,567.72,579.45,2015132.17,BNB,1184011209.6303,2307900,0.0,45.0,,,,,,1d
2025-03-14,579.45,589.44,576.32,587.56,582512.48,BNB,339454221.4791,939798,-2.0653333333333338e-05,27.0,,,,,,1d
2025-03-15,587.55,619.65,587.41,619.62,645885.01,BNB,390021081.5758,935262,-1.1956666666666667e-05,46.0,,735897636.1613616,473428.0,35272290.97760472,,1d
2025-03-16,619.61,622.93,592.9,602.14,826155.33,BNB,499131235.435,1148565,0.0,30.0,,,,,77.0,1d
2025-03-17,602.14,643.59,602.01,631.39,1691378.7,BNB,1063012706.8284,1935960,0.0,32.0,,,,,,1d
2025-03-18,631.38,643.37,619.94,627.42,1295724.68,BNB,818537020.9818,1582666,-1.269e-05,34.0,,791647457.0826768,369237.0,37114004.517978825,,1d
2025-03-19,627.41,627.8,604.28,618.02,1343612.78,BNB,825906328.065,1504954,-0.00012062333333333332,32.0,,,,,,1d
2025-03-20,618.02,637.3,616.02,629.92,1587667.77,BNB,995634219.2181,1703026,-0.00020153666666666666,49.0,,,,,,1d
2025-03-21,629.91,637.01,624.09,634.64,726490.52,BNB,459260311.055,960663,-0.0004020266666666667,31.0,,808372403.3590714,321230.0,38614236.487858675,,1d
2025-03-22,634.63,635.5,623.22,626.5,466860.98,BNB,293349093.6401,665188,-0.0003471033333333333,32.0,,,,,,1d
2025-03-23,626.5,628.7,618.31,623.25,416574.83,BNB,259318310.2483,604549,-0.00036979000000000005,30.0,,,,,78.0,1d
2025-03-24,623.25,639.23,617.0,636.58,975464.26,BNB,613336106.1638,1012704,-0.00021759666666666666,45.0,,870857131.0489082,483673.0,42587257.93296199,,1d
2025-03-25,636.58,644.67,626.75,629.53,1155894.36,BNB,735443246.6479,1139804,-0.00015554999999999999,46.0,,,,,,1d
2025-03-26,629.53,633.86,615.0,617.72,619218.77,BNB,387207344.5444,724436,0.0,47.0,,,,,,1d
2025-03-27,617.73,642.0,616.73,636.66,1590895.35,BNB,1007940817.2615,1466421,-7.733333333333334e-06,40.0,,836927632.4366131,437476.0,40835198.15509742,,1d
2025-03-28,636.66,636.81,615.31,619.24,805805.88,BNB,505842517.0951,1020487,-0.0001534333333333333,44.0,,,,,,1d
2025-03-29,619.23,623.21,596.39,602.59,827440.62,BNB,502028218.577,1023483,-0.0002504533333333333,26.0,,,,,,1d
