Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-02-23,171.99,172.99,166.32,167.84,8522631.0,SOL,1443069387.62,891007,3.753e-05,50.0,,,,,90.0,1d
2025-02-24,167.84,169.58,137.16,141.73,40738410.0,SOL,6266379309.328,3605479,-2.1069999999999996e-05,49.0,,,,,,1d
2025-02-25,141.73,147.0,131.72,144.24,58424968.0,SOL,8135265001.815,5506287,2.2533333333333343e-06,25.0,,807968798.3546175,497063.0,42857483.777941674,,1d
2025-02-26,144.25,145.16,130.54,135.27,35461521.0,SOL,4857935286.13,3095884,-1.657e-05,21.0,,,,,,1d
2025-02-27,135.28,142.8,134.61,137.6,25190372.0,SOL,3490909303.44,2384792,6.777666666666666e-05,10.0,,,,,,1d
2025-02-28,137.6,148.69,125.52,148.1,50846289.0,SOL,6913128803.493,4249526,0.0001,16.0,,857436275.8049003,386183.0,40709492.42352019,,1d
2025-03-01,148.1,151.15,138.5,143.58,22723905.0,SOL,3260327550.925,1948319,8.864333333333333e-05,20.0,,,,,,1d
2025-03-02,143.57,180.0,139.96,178.64,56906128.0,SOL,9234334967.222,5305725,3.193e-05,26.0,,,,,80.0,1d
2025-03-03,178.64,179.44,139.19,142.05,54165734.0,SOL,8486931451.791,5133746,-1.9543333333333333e-05,33.0,,824457957.5047117,374224.0,43308113.80620068,,1d
2025-03-04,142.05,146.8,130.52,144.7,50888782.0,SOL,7037997102.314,4581948,-3.8723333333333336e-05,15.0,,,,,,1d
2025-03-05,144.69,149.66,140.12,146.16,25732247.0,SOL,3710961451.163,2449815,-6.152666666666666e-05,20.0,,,,,,1d
2025-03-06,146.17,152.85,142.32,143.22,23968768.0,SOL,3535617520.749,2509526,-5.668e-05,25.0,,934385685.1720064,370349.0,49258687.207736224,,1d
2025-03-07,143.22,150.86,135.0,139.31,36719254.0,SOL,5248705203.848,3563717,-4.945333333333333e-05,34.0,,,,,,1d
2025-03-08,139.31,140.99,135.19,136.92,12033588.0,SOL,1661095613.099,1258237,-1.1713333333333334e-05,28.0,,,,,,1d
2025-03-09,136.93,139.79,125.37,126.42,22039157.0,SOL,2901135651.346,2038129,-1.0123333333333332e-05,27.0,,878012411.8108668,300380.0,42556646.31233789,76.0,1d
2025-03-10,126.42,131.5,115.43,118.26,38703346.0,SOL,4760102004.822,3178341,-8.590999999999998e-05,20.0,,,,,,1d
2025-03-11,118.27,128.36,111.83,125.28,37472663.0,SOL,4560385760.796,3089309,2.0753333333333333e-05,24.0,,,,,,1d
2025-03-12,125.27,131.26,121.16,126.55,28491735.0,SOL,3566589700.964,2270097,-1.4439999999999999e-05,34.0,,852972260.0961236,428828.0,40530980.77892335,,1d
2025-03-13,126.54,128.79,120.66,123.32,21642285.0,SOL,2694723663.521,1825692,4.336666666666666e-06,45.0,,,,,,1d
2025-03-14,123.32,136.07,122.89,133.49,21467520.0,SOL,2785703895.264,1778056,7.647333333333333e-05,27.0,,,,,,1d
2025-03-15,133.48,136.47,132.36,135.79,11738984.0,SOL,1576852669.225,1052166,4.967333333333334e-05,46.0,,735897636.1613616,473428.0,35272290.97760472,,1d
2025-03-16,135.8,136.68,125.11,126.05,20105042.0,SOL,2623667285.699,1604170,9.149999999999999e-06,30.0,,,,,80.0,1d
2025-03-17,126.05,130.56,125.44,127.93,18702871.0,SOL,2396631183.166,1418719,-5.809333333333334e-05,32.0,,,,,,1d
2025-03-18,127.92,128.1,121.66,125.25,17764133.0,SOL,2205642676.779,1369303,-5.7186666666666666e-05,34.0,,791647457.0826768,369237.0,37114004.517978825,,1d
2025-03-19,125.25,136.06,124.14,135.3,24365586.0,SOL,3159831962.248,1788715,3.4953333333333336e-05,32.0,,,,,,1d
2025-03-20,135.3,136.08,126.56,127.53,16400296.0,SOL,2147459352.513,1332632,6.043000000000001e-05,49.0,,,,,,1d
